"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"RELCH",4108.25,3979.6,4130.99,3472.27,2765.01,3558.31,4433.18,3538.41,5286.62,4801.73,4903.68,3632.77,3039.76,1909.34,3154.37,2533.73,4149.93,3971.46,2663.55,3718.43,3504,3668.28
"RENBP",1608.51,1522.24,2671.02,2429.92,873.71,373.223,859.403,582.536,1542.12,2388.27,1958.9,2839.4,428.648,NA,NA,764.968,NA,767.613,NA,NA,210.166,242.095
"REPIN1",588.279,NA,339.766,NA,145.271,881.005,851.984,449.462,562.76,232.054,247.144,664.147,161.641,369.903,430.399,NA,409.585,170.724,91.6922,256.876,453.204,288.105
"REPS1",3479.99,2282.91,3351.42,1871.33,3101.28,3183.68,3122.33,2823.73,2713.16,2181.95,2409.07,2784.39,2048.42,1435.77,2063.94,879.625,2803.38,1956.97,2199.63,4252.09,3311.87,3645.07
"RER1",13387.4,29690.4,14135.5,21979.4,5785.23,16902.3,12771.1,12370.4,18918.2,28423.4,17595.6,15402.3,10730.7,25197.7,23619.5,17376.5,20948.5,26386.4,18816.7,17933.8,22174.4,14289
"RETREG2",NA,2896.58,2914.63,902.448,1969.73,1117.17,NA,NA,2317.57,2993.86,7228.66,1298.74,4081.16,2986.64,1281.05,2462.62,2901.69,1859.67,2888.57,770.246,2162.7,1894.23
"RETREG3",16032,18713.4,18689.3,15866,9225.91,14752.5,10874.2,8843.4,17693.7,18921.8,15845.2,12019,8351.08,8321.37,8501.86,8429.91,12038,14632.2,7941.25,20119,12888.4,11353.7
"RETSAT",5356.61,8667.44,6321.81,11967.6,4806.75,6903.57,6551.6,8923.59,6317.62,11268.3,5488.38,7169.14,4085.89,3545.01,5601.66,6599.56,9719.84,13289.8,4989.87,6937.42,6955.58,9830.01
"REXO2",33993.7,24895.3,33223.7,20902.3,29448,24720.1,20983.9,24388.1,40434.7,30054.8,31241.1,23815.9,23812.9,29906.5,35854.5,42033.7,35584.1,35031.6,30480.6,41553.3,24295.1,26883
"RFC1",509.878,851.467,433.642,NA,982.787,1008.72,642.121,697.813,548.397,261.788,954.436,324.582,571.741,NA,302.413,NA,487.947,820.886,422.871,868.667,703.448,792.849
"RFC2",2302.92,1803.73,1505.53,1300.05,3107.7,2409.31,3356.13,2280.81,1800.16,1521.05,2808.31,1839.96,1983.32,2509.91,182.06,1477.82,2067.64,1798.28,2059.65,2030.86,2627.93,2269.47
"RFC3",2482.55,2404.58,1356.45,1627.93,2818.62,3017.35,3854.56,2544.38,1532.54,1210.96,2731.85,2593.95,1947.11,1885,1246.99,863.746,1309.92,1935.23,1124.68,1594.42,2051.62,1961.59
"RFC4",2341.59,2015.99,2271.16,2446.58,4968.28,4398.13,3637.08,3835.49,2106.17,2201.89,3233.19,3193.99,2734.13,3403.07,907.419,1726.91,2982.97,1349.34,3602.52,3485.92,3980.87,3359.68
"RFC5",1812.25,1125.4,1109.28,1602.82,1678.24,2220.65,1939.86,1825.82,1144.18,1207.52,2671.6,1317.33,1932.64,1645.52,1270.15,812.553,2017.33,1940.2,2100.66,1349.87,2534.18,1933.89
