"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"KIF16B",16.0315706856019,16.58448,15.59016,15.83312,16.0594348601255,15.77713,15.79099,16.1549675574051,15.23975,15.75056,15.74224403971,15.9395668428525,16.85497,16.4353260022113,16.71078,15.97471,16.14525,16.53829,16.90925,16.98306,16.33758,16.39522
"TRIM47",16.16681,16.12279,15.59709,16.30593,15.89379,15.93146,16.45952,16.20642,16.06975,16.01806,16.18809,16.17324,15.97515,15.0372766186199,14.71143,15.68098,15.09275,15.69545,15.2654595628028,15.1132795580186,15.631,15.4049
"PRRC1",16.35688,16.22121,16.28253,16.29257,16.31522,16.31353,16.28773,15.91001,16.23343,16.33278,16.49963,16.3077628160848,16.2052,16.12571,16.50133,16.43021,16.05475,16.08827,16.0678,16.28904,16.11443,16.01581
"FGD4",15.44365,15.70498,15.2800536728946,14.65089,15.2370482472252,15.3223793368816,15.88497,16.00944,15.24004,15.69803,15.15681,15.33066,14.6944569195798,15.41394,15.86067,14.56715,14.9661810416891,15.167,16.42193,16.66065,15.7512,15.22005
"DNAAF10",15.315,15.72377,15.39623,15.46177,15.4490905259688,15.4894343765254,15.45636,15.62566,15.73631,15.29451,15.67251,15.7713393996729,15.2703230038346,15.4702851018559,15.51602,15.05629,14.99282,15.13504,15.4744140452258,15.5896,15.29687,14.9961
"MBOAT7",15.9774287979045,15.72334,16.14264,15.89103,15.66428,16.08727,15.55735,15.26073,16.41938,15.83202,15.86706,15.75774,16.69897,17.15713,16.96745,16.55875,16.61309,16.26448,17.16495,17.01066,16.18838,16.40175
"DOCK7",17.93435,17.4845,17.19854,17.10402,17.0408034885991,17.13173,16.99857,16.8528,17.4721,17.16633,17.65888,17.73222,17.5743,18.06787,17.24164,17.37808,16.65044,17.40017,16.52526,18.7662,16.4941,17.07961
"ARAP1",16.45333,16.39919,16.01433,16.20162,16.0442174309605,16.06218,16.09031,15.95214,15.94645,15.69063,16.1192622622525,16.03641,15.6413,16.0482270607961,16.53473,15.68115,15.62486,15.78023,15.7378139637284,15.7226,15.42188,15.10798
"IPO9",17.49601,17.59181,17.28144,17.68824,17.4196,17.51544,17.62719,17.39622,17.57152,17.4726,17.57114,17.53584,17.57255,17.07695,17.3238,17.58404,17.225,17.81183,17.52586,17.74198,17.4896,17.45418
"RBM14",15.89595,16.25561,15.89013,15.9579,16.22355,16.03278,16.1238,16.06897,16.24118,15.94963,16.8324,16.98752,16.42223,16.1348329624237,16.1293165134496,15.78659,16.22345,16.71815,16.4294436704108,16.4668939518733,16.04781,16.21368
"SORCS2",21.55622,19.8831,21.0572805474564,21.62666,20.1381210715636,20.6639,20.26987,20.02714,21.1501,19.76488,19.9997520940091,19.2815486418293,21.65977,20.1250348115883,19.8334151032312,20.91761,20.7124,18.05597,18.6669333513353,18.4293303596123,17.51458,18.05716
