"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"RPS15A","449168.9","373280.56","379086.8","417092.12","282208.94","331746.66","377073.56","362338.7","426846.06","409035.1","289066.3","207729.2","568410.7","470738.53","585807.56","539228.3","398127.62","322665.62","144902.23","208069.2","379880.3","519355.94"
"RPS16","688016.25","701059.5","808438.06","932658.0","731779.2","645737.8","801371.8","677916.44","882008.0","735653.1","894457.94","678644.2","1057806.5","927889.4","1209583.4","879322.06","906090.94","880565.94","293939.1","530325.06","829807.44","1028386.56"
"UBE2H","0.0","0.0","0.0","49823.57","0.0","0.0","67072.51","45772.27","69386.0","45423.863","86519.8","87759.05","0.0","0.0","0.0","88195.055","47855.63","0.0","0.0","0.0","0.0","0.0"
"YWHAE","2459001.2","1906822.6","2084886.2","1995544.6","1895033.1","2235841.0","1854851.5","1828076.4","2139997.8","1849847.6","2092505.0","2109245.0","1675654.4","2075721.2","1895209.6","1745877.8","1714160.8","2195345.0","2112212.0","2013673.5","2054241.1","1952398.2"
"RPS14","454496.75","285748.94","373746.22","352739.44","288613.38","319228.0","263083.0","227212.5","254212.6","253048.34","245381.31","253409.34","441458.03","529044.75","470208.8","536014.56","452825.28","276240.12","107126.125","164456.25","294621.7","395290.16"
"RPS23","141881.88","85809.72","100982.57","139266.12","87495.484","99238.336","137389.9","105401.234","165324.61","108149.24","177608.22","93418.375","281990.12","400987.5","322391.8","317390.38","171649.1","104363.22","85369.984","116809.414","143767.81","202853.31"
"RPS18","1534081.1","1347261.1","1135908.5","1400794.8","1118993.0","1057799.4","1296772.4","1088872.1","1087571.4","1130453.2","1251326.2","944703.9","1207156.8","1305767.1","1540118.4","1915014.8","1483545.5","1080022.6","240702.12","612894.56","1232759.0","1437751.1"
"RPS29","334233.56","309381.28","494519.53","586739.2","424583.53","417821.38","437705.4","416514.56","502235.6","391141.9","423631.66","403024.38","741495.75","375987.75","381000.94","680223.4","699845.5","530159.5","110303.09","170494.36","667761.7","589233.4"
"RPS13","455636.56","404695.2","344859.0","450580.34","319979.5","324148.72","477481.66","422867.22","405705.88","446106.75","384290.16","363586.6","443060.0","401902.7","589585.3","543659.0","488199.12","396407.8","94529.89","142958.81","512545.6","536311.1"
"RPS11","531623.1","550988.2","644957.3","666204.2","499964.56","525621.5","640638.5","584683.7","653419.94","527153.2","497479.88","428545.9","1157547.6","870861.56","1066492.6","748535.1","875237.6","649195.06","254194.78","461671.3","634611.44","837552.44"
"SNRPE","498071.66","199583.55","217028.4","249674.44","135652.28","141043.39","188003.52","144606.33","119755.17","159295.72","73352.305","53177.12","455740.72","68433.04","105978.68","440119.97","289933.38","123581.65","80951.18","70609.484","168987.23","267367.6"
