Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
CLIC4	54805.6	47696.3	69837.7	32954.4	85473.7	57142.5	59322.5	50109.2	89472	74534.8	93236.3	77445.2	138187	108825	93028.9	102440	100157	92421.7	110346	120726	134932	119085	111897	124398
CLIC4;CLIC6	34614	24227.5	28919.8	34188.3	35077.7	30748.2	11589.6	14220.3	15996	21444.6	57734.6	42551.5	60917.8	44634.5	23963.7	22472.4	23936.3	46902.4	97051.2	73792.9	31981.2	53866.2	4391.27	29016.1
CLIC6	8365.46	5956.53	13024.6	7180.19	28726.9	14539	9843.65	13801.4	18984.2	14999.4	17160.2	8807.07	25443.8	6447.19	34646.1	15711.3	23588.9	13780.4	14886.4	6339.87	35501.6	9415.4	27274.1	14087.2
CLINT1	5369.68	6516.51	6432.72	5856.04	6357.32	6134.4	5144.92	6644.87	6177.49	6709.1	6745.58	6350.29	3487.56	3429.26	2667.7	1764.25	4588.81	3438.56	5565.96	4535.47	3133.87	6965.05	6522.29	6561.77
CLIP1	9166.92	9558.76	10182.5	9055.38	11192.8	7814.79	12226.5	8712.14	8451.19	7503.55	9505.95	8146.09	4299.08	2703.8	7638.65	3673.98	8178.11	3218.15	10930.2	6194.75	6856.65	9116.47	8632.83	5720.6
CLIP2	6805.75	4696.24	6639.6	4584.08	7611.04	6930.11	6490.56	6035.69	5128.45	4140.99	6728.45	6672.62	4049.76	2339.37	2857.37	1121.67	3420.96	1464.38	4132.94	1678.07	3913.45	5981.65	5190.15	3890.26
CLMP	4505.54	4487.22	2388.45	2449.11	10045.5	3000.3	8058.64	3901.07	4126.07	1523.41	6315.03	4140.3	7039.51	3255.33	5424.55	4843.82	3066.9	453.149	3475.45	1384.93	8293.15	7215.59	8067.09	5841.64
CLN3	15912.5	17603.9	20205.5	20567.6	13001	19940.7	13831.5	16856.2	11374.2	19270.5	15680.4	17879.1	6451.04	22131.5	3450.69	13819.9	3053.74	14945	6463.09	10286.4	4336.35	4774.04	7343.72	8555.6
CLN5	1292.82	1121.93	1675.41	1106.02	1720.62	853.984	1308.13	763.294	1516.12	1022.96	1135.38	972.696	876.454	1299.38	1469.98	2157.09	2616.36	2294.91	2433.35	2763.97	1569.15	1744.23	1540.65	1447.21
CLN6	2837.11	2536.9	2440.2	3076.84	1298.66	1979.29	2398.45	3135.49	3512.17	4026.8	3186.5	2376.25	3125.13	3578.96	286.656	1376.83	583.172	1268.86	1352.07	2130.7	1314.46	2668.53	1669.95	2265.24
CLN8	671.93	785.292	292.5	374.533		390.312	253.514	571.307	526.298	734.315	621.173	671.83	526.398	455.427		443.611	463.042	811.367		1262.31	475.106	268.139	713.075	696.839
CLNS1A	6584.64	7432.66	4455.25	4509.14	8555.91	6334.09	6708.8	3727.13	17197.6	14059.8	9465.56	10570.2	7583.41	2910.15	8083.17	6823.36	9321.57	8467.21	12618.6	8923.17	11098.9	9389.01	11322.9	15972.5
CLPB	2306.06	2264.38	2222.58	3574.53	1827.64	1997.12	2943.29	2827.7	1330.39	2093.16	1398.94	2529.27	1730.81	1842.63	1693.27	2533.99	1533.98	2627.71	2074.21	2066.87	1621.75	2005.24	1571.2	2161.07
CLPP	5298.58	3281.99	8557.99	3495.18	6195.35	5830.93	4705.16	5382.67	8251.62	6179.7	6839.63	5884.7	2934.52	6096.83	3409.71	6182.84	4119.11	5753	3705.72	4789.38	4111.51	5170.17	3276.63	3134.92
CLPTM1	10887.3	14486.5	19095.8	16102.7	13422.5	13193.8	14516.5	13281.9	17726.4	16963.8	13082.6	14715.4	16893.4	7530.34	12910.8	6164.73	10440.3	10860	15829.4	11159.8	18116.5	10650.7	18342.7	10837.6
CLPTM1L	4811.99	7568.2	6777.92	8438.89	2419.17	5920.6	2822.22	5310.81	5837.62	7323.86	7752.02	6885.45	4695.98	5598.17	6744.78	8668.72	8278.35	8079.36	11540.6	8382.06	5864.33	7145.64	5959	7672.02
CLPX	5733.66	5819.13	5085.22	5763.53	6306.92	5262.57	7304.95	6414.61	5309.87	4164.48	5581.34	5187.76	2870.95	2858.87	2068.42	1814.17	2890.4	3129.09	3635.59	4458.44	3657.99	3826.44	5443.49	2968.12
CLSTN1			822.688		1482.26	318.273		270.134	222.046	555.4	847.721	423.4	1261.21		1587.7		1089.97		705.183		1215.85	272.169	410.52	515.923
CLTA	54545.3	42902.6	59756.7	32134.1	79504.7	53281.9	51194.9	42919.2	71901.1	56585.1	49290.3	51295.6	35357.8	46547.7	46970.3	59760.4	38268.3	46949.2	51334.4	42012.1	48892	50817.6	56065.2	35409.8
CLTB	13242.9	11646.6	19979.1	9181.57	26741.4	19014.8	10119.2	16609.3	24587.7	19127.8	19267.1	16139.6	23433.9	13924.2	21655.5	27090.1	25371.7	17389.4	17234.9	13631	27390.4	18691.3	17838.7	13828.5
CLTC	194389	191213	204052	167741	110188	170683	178813	162806	216193	207677	207984	151793	138261	192922	147586	141331	150869	158037	174051	167780	139908	162347	152079	167966
CLTC;CLTCL1	276246	266454	298612	233198	148244	254881	244884	242134	316208	307335	289739	222145	171175	264140	169706	189636	201469	227539	255943	234546	189091	223548	179245	238892
CLTCL1		201.784	804.622	553.72		478.444	903.803	1001.05		700.104	238.833	992.018		365.473										
CLU	64.7843				1074.67	92.888	2024.59	591.477			463.15	124.74	3834.01	1765.93	2169.02	1026.17	1508.08	158.791	2052.88	2347.36	2541.26	1782.43	4523.17	4214.85
CLUH	3630.05	4217.84	2935.46	4979.92	6157.61	6647.22	4105.83	4915.62	5038.76	4507.72	5986.29	5295.94	5961.31	5587.38	4510.73	1859.14	3578.86	3574.87	5859.39	3944.26	6579.72	4396.26	7103.41	4956.86
CLYBL	1474.43				421.049	856.643		996.059		452.271	627.266	448.926	353.191	2296.64		896.846	299.891	541.337		672.779		679.585	420.483	576.058
CMAS	23338	18596.9	22191.3	12667.5	17153.1	19308.8	23510.7	19949.6	23524	18287.6	25869	18773.1	12181.9	29801.4	12915.9	17440.3	18528.7	26594.2	19199.6	24588.8	13208	25692.2	22342.8	26112.1
CMBL	18228.2	16503.1	24546.3	19141.2	17609.9	14336	12130.5	14132.4	19041.6	24618	18477.4	18974.2	16086.2	17318.4	21290.5	36202.3	26228	25453.3	27519.3	33219.1	18071.8	25585.1	18286.1	21813.2
CMC1	14873.3	18474.1	28615.5	17868.3	21779.7	14468.8	17761.2	25368.7	20760.8	26751.5	24867.6	22480.1	10869.9	27834	4844.86	11785.3	15819.5	16912.3	10259.8	16458.4	19330.3	19576.6	16796.3	15678.3
CMC2	6281.84	1728.73	2997.92	4676.44	8108.31	3833.32	4293.89	3912.96	4427.13	3363.89	5969.22	5050.69	1179.29	4755.91	1855.11	6687.12	3182.41	9123.38	3528.2	10044.7	3943.87	2191.85	4891.34	3156.92
CMC4	571.689	923.425	1401.35	959.628	1560.91	840.738	1098.3	1967.26	808.113	872.695	674.534	2029.16	221.174	814.029	486.187	1627.06	188.732	790.224		671.249	350.236	1662.87	585.376	765.005
CMKLR1	1017.09	1707.57	834.593	1076.18	557.595	2889.08	1829.42	3128.79	1023.28	1426.65	871.947	1002.46										813.441		
CMPK1	243968	362859	283790	291747	180544	212249	161918	216300	283892	319912	212918	323854	173991	225555	216504	499848	319660	418203	298872	382745	170755	362002	239870	305692
CMTM6	391.857	424.399	2523.4	644.004	1092.38	2626.29	495.465	841.042	3034.82	3860.7	1995.49	722.426	1465.6	2498.54	1590.18	1642.95	487.098	1585.12	653.656	3237.2	1950.66	2543.69	4420.05	414.658
CMTR1	1413.43	3168.17	985.158	1745.34	926.141	2060.21	2959.09	3355.74	2428.73	1635.67	1557.72	1838.3	1732.26		573.107		1697.83		1947.34	1126.45	2011.43	1431.6	1382.69	2205.07
CNBP	16319.9	12629.2	17549.1	7060.53	29213.9	18647.6	24203.5	19932.8	18000.4	9668.26	19339.8	15466.8	9526.79	7596.75	8498.84	5821.48	7480.28	6396.96	19332.3	5695.67	12415.5	14009	20257.4	14656.3
CNDP2	32636.6	27464	31364.6	23711.7	38490.9	33199.8	28750.8	24714.5	40028.4	34331	41735.8	35482.3	30919.3	32832.2	39524.9	54019.3	38178.9	51022.5	30654.9	40692.3	34971.2	31371.5	34957.2	39306
CNEP1R1	1202.22	1732.39	446.863	1363.8	1162.52	1438.62	2804.38	1430.24	788.318	1161.86	719.234	1691.09	309.85	771.647	578.929	836.103	315.025	803.987	596.844	601.705	508.713	417.466	324.738	400.852
CNIH4	12413.6	35021.5	19599.1	19501	9475.52	18865.5	15772.3	15860.8	12157	24748	17528.1	17738.5	14344.4	38842.5	8975.1	23161.6	9454.23	28428.6	9164.31	30343.4	13831.3	27745	18359.1	16563.1
CNN1	11512	6835.31	13423.3	6934.69	2789.49	2289.76			13627.4	11022.1	4708.52	4587.7	17387.1	18473.6	18622.6	39719.8	53098.6	39467.5	41942.8	68006	3351.65	11682.2	36117.7	85518
CNN2	80375	64491.4	95545	57025.9	60310	75496.8	28210.7	46606.6	87958.9	107221	75365.8	93946.3	30497.3	37260.9	49935.3	95210.5	67037.4	88541.3	68889	92061.2	19313.7	55056.6	47025	87694.3
CNN3	57487	28961.3	61568.9	25978.7	40982.3	42462.2	24631.6	32677.1	95900.2	67130.8	69384.8	51232.3	65007.2	36282.9	112754	47305.4	137078	38242.7	112673	56130.2	64698.7	58988.4	62620.7	98459.4
CNNM3	628.237	137.815	250.483	33.2206	548.385	586.457	297.149	402.306	301.781		159.438		473.191	558.71	145.403			600.76			130.755	527.806	200.566	134.515
CNNM4			133.794	101.942	113.784	46.484		76.4141		118.818	105.102	245.567	61.5021	2.7722			14.8084							
CNOT1	4074.93	5483.05	5071.73	4060.67	3190.55	5740.03	6011.64	4576.02	5541.98	5122.49	4838.1	4298.29	4419.29	4051.4	3295.2	3130.41	3415.48	4333.76	5364.25	4412.5	3618.04	4263.56	4376.67	4579.02
CNOT10	1243.95	1069.1	1684.99	2457.13		1600.02	649.793	2176.72	1078.8	1164.23	740.019	1457.26	1972.82	2138.73	741.399	983.636	1689.22	1562.87	1437.39	1844.17	1649.49	1487.15	1237.29	1593.53
CNOT11	595.543	696.806	1246.67	1278.01	1675.79	995.282		829.92		1465.64	1454.93	1090.31	1365.52	1785.86			270.443	1525.79				1532.33	1298.22	
CNOT2	2059.43	1029.67	2242.07	2113.96	1917.51	2327.43	2928.85	1827.29	1817.66	1091.81	2417.37	1717.6	2743.35	1657.46	1983.06	690.199	2121.1	678.353	2526.97	1516.67	2053.94	1888.86	3490.58	2196.89
