"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"CLPB",11.4578,11.86883,11.40063,11.5329,11.18786,11.4654,11.58252,11.73495,11.28298,11.24151,11.56563,11.64679,11.21988,11.59939,11.42344,12.13712,11.56992,11.80134,10.96674,11.36703,11.16673,11.53438
"CLPP",12.74694,12.11056,13.04088,12.35784,12.71924,12.65739,12.53822,12.60403,13.06046,12.89766,12.88601,12.81974,11.72234,12.54589,12.38458,12.99231,12.11749,12.54529,12.18264,12.69342,11.87874,11.92693
"CLPTM1",13.5178,13.4511,14.19175,13.96829,13.99746,13.56205,14.07499,13.64656,14.4918,14.09921,13.69286,13.88337,13.94391,12.84555,13.76562,13.17208,13.98809,13.54457,14.14345,13.28423,14.27529,13.32256
"CLPTM1L",12.29603,12.48011,12.52787,12.79733,11.82329,12.36754,12.08471,12.0207,12.30851,12.30698,12.49411,12.3263,11.98601,12.05323,12.56444,12.86483,12.8502,13.04584,12.06472,12.38909,12.15026,12.22399
"CLPX",13.11602,13.06719,13.17709,13.14738,13.66636,13.12131,13.63795,13.15786,13.2619,12.85352,13.10292,13.05731,12.52631,12.16463,12.60541,12.70338,12.98468,12.74566,12.87854,12.71716,13.23476,12.65778
"CLTA",15.81358,14.90187,15.76909,14.55452,16.28208,15.75762,15.67907,15.2894,16.28308,15.72025,15.84904,15.68363,15.4433,15.57675,15.43919,15.51477,15.5833,15.46867,15.46109,15.53586,15.85855,15.47939
"CLTB",14.02602,13.99403,14.82815,13.88817,14.97512,14.77996,14.01645,14.66565,14.67377,14.74368,14.45875,14.31068,14.0169,14.126,14.68156,14.3335,14.17338,13.9694,14.87887,14.50723,14.2338,14.18792
"CLTC",17.57032,17.53153,17.62988,17.40418,16.80033,17.41528,17.48004,17.38088,17.72264,17.69024,17.65962,17.2228,17.10882,17.54719,17.22423,17.31223,17.43878,17.38769,17.09076,17.33664,17.21927,17.32466
"CLTC;CLTCL1",18.12788,18.04231,18.20841,17.88661,17.20874,18.02245,17.96867,17.89526,18.22582,18.2189,18.13717,17.79375,17.44224,18.15577,17.53775,17.82476,17.98817,17.80932,17.56089,17.7459,17.56437,17.86481
"CLTCL1",12.40247,11.26773,12.24992,11.47687,11.84944,11.68513,11.94015,11.71456,12.12432,12.34574,12.23255,11.33152,12.37619,12.26141,12.8597,12.61203,13.15409,12.9319,12.45332,12.24571,12.43919,12.40414
"CLUH",11.83725,12.00898,12.08375,12.38944,12.55946,12.83479,12.66742,12.61273,12.28982,12.07941,12.60806,12.28834,12.43411,12.36767,11.6579,11.83262,12.73468,12.00754,12.55864,12.07727,12.705,12.25177
"CMAS",14.48185,14.06336,14.436,13.7569,14.03143,14.24241,14.41877,14.14952,14.35027,14.10074,14.42867,14.19921,13.67961,14.91443,14.33318,14.7501,13.94912,14.61037,14.10699,14.64796,14.63351,14.78937
"CMBL",14.15689,14.23264,14.80366,14.46007,14.10944,14.02464,13.38119,14.03366,14.30006,14.6076,14.38796,14.31105,14.16402,14.44793,15.01505,14.97006,14.79367,15.29076,14.40527,14.71373,14.46745,14.22633
"CMC1",14.1318,14.23022,14.79173,14.21992,14.44834,14.07662,14.0979,14.65418,14.4245,14.70208,14.46477,14.43827,13.50176,14.87177,13.64146,14.16216,13.51755,14.15313,13.9085,14.33936,13.9702,13.76897
