"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"H1.0",-1.07509821315616,17.7883840910145,-4.9645844446422,5.43480621498702e-05,0.00217647005140808,1.85385365375069
"MAN2B1",-0.751855649720406,16.1183256825968,-4.90883274027358,6.23060737772214e-05,0.00245386662033344,1.72108101181284
"TPM4.2",1.25381001276922,16.4896527618976,4.90034986809804,6.36159916709584e-05,0.00245386662033344,1.70086895131026
"LRPAP1",0.628760994599379,17.3203378622711,4.89696043140151,6.41471180500744e-05,0.00245386662033344,1.69279227001775
"MGST1",-0.822807996612536,17.5391475152423,-4.87539412439675,6.7632894508256e-05,0.00254916336212735,1.64139287202407
"SEC61B",-1.55980154276715,16.7687914715382,-4.86228899148529,6.98437250169069e-05,0.00257528924037814,1.61015176655378
"NAGA",-0.948754947931445,16.3924041489937,-4.8594299572191,7.0335640587776e-05,0.00257528924037814,1.60333544956677
"DDAH1",-0.75357345741487,17.229553037202,-4.84878351521034,7.21983378759233e-05,0.00260625830952101,1.57795073671399
"CAPRIN1",0.75824674811243,17.3858982874768,4.82132306705687,7.72355255484132e-05,0.00274937016639699,1.51246060152852
"ANXA4",0.605909798913775,18.2571482516757,4.80455323836719,8.0484302657309e-05,0.0028257707905573,1.47245637205276
"SERPINE1",-1.04163558524557,16.9919846971356,-4.76924044200617,8.77824839737802e-05,0.00304035819492971,1.3881957699209
"RECK",-0.866990701939978,16.0887683896615,-4.75425645698728,9.1077234987795e-05,0.00311241271031625,1.35243391161705
"EPHX1",1.0909491404289,18.8640018573841,4.74583346639466,9.29836707974054e-05,0.00313575195070724,1.33232904282668
"ASS1",-0.740752368040631,16.7034329084205,-4.68653037995582,0.000107592224470978,0.00358128404310541,1.19074457818771
"TKT",-0.558429499999988,20.0696727305282,-4.59194538799892,0.000135817303406518,0.00446281729013981,0.96484787888554
"AK4",-1.47639486909454,16.93237337318,-4.57166856366924,0.000142776628805524,0.00463210759023491,0.916416302617823
"MXRA8",0.88098440887746,15.8293288559638,4.56572428561185,0.000144883830531477,0.00464171572065221,0.902218351546918
"RHOA",0.488511833333341,20.6161343801653,4.55759521601196,0.000147816129885224,0.00467656897816528,0.882802140456037
