"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CHERP",0.407863259726206,11.5952295339339,1.16142892876613,0.257895517450467,0.60737871436269,-5.67413867290879
"APPL1",0.175460681818185,12.7537911363636,1.16097094641162,0.25807781312249,0.607459531460906,-5.67464552178841
"CISD2",-0.217327035636133,13.4820946968483,-1.15966801635892,0.258596954899768,0.608001518864143,-5.67608651064256
"PTPN23",-0.15418446969697,12.7021909710744,-1.15892462996613,0.258893497595212,0.608001518864143,-5.67690802759336
"CD9",-0.520395151515146,15.2624533677686,-1.15889513842012,0.258905267198665,0.608001518864143,-5.67694060915199
"SLC39A11",-0.467411478705389,8.15732386313136,-1.15888239937152,0.258910351271417,0.608001518864143,-5.67695468272391
"MELTF",0.890897927262175,11.9480086937412,1.15833843764074,0.259127511922294,0.608001518864143,-5.67755550183378
"RPL24",-0.309970227272736,15.1373267561983,-1.15802622974589,0.259252212619133,0.608001518864143,-5.6779002308219
"MAP4K5",0.245866666666672,12.2230045247934,1.15757417217825,0.25943285020443,0.608001518864143,-5.67839923172262
"SARM1",-0.298886864585947,10.4719302189032,-1.15742375838563,0.259492974677218,0.608001518864143,-5.67856522695683
"ACADVL",0.213377878787881,15.440057107438,1.15629389252918,0.259944942537784,0.608551869859353,-5.67981152815571
"NLN",-0.183556060606062,13.4566875413223,-1.15550926384668,0.260259151555739,0.608551869859353,-5.68067638311645
"MMS19",-0.199481872996877,12.2889896544719,-1.15527104443649,0.260354603460634,0.608551869859353,-5.68093885738578
"THUMPD3",0.225816666666667,11.0108377050824,1.15507007912785,0.260435148193906,0.608551869859353,-5.68116024732014
"THBS3",-0.477687431903183,9.2989557283718,-1.15498539278293,0.260469095089619,0.608551869859353,-5.68125353038319
"ARPC4",0.201927121212119,16.1058696487603,1.15459619491688,0.260625148862917,0.608570100160565,-5.68168215909695
"WDR24",-0.306570150923795,10.090588034502,-1.15414315047895,0.26080688980675,0.608648256200517,-5.68218094235771
"LAMTOR1",0.295850151515149,13.9549769008264,1.15321334280426,0.261180180120166,0.609173090564365,-5.68320408129346
"COMMD9",0.142491060606062,12.5826844628099,1.1523773141491,0.261516158023387,0.60961035132652,-5.68412340664837
"CSTF1",0.453552256837735,11.7436494217849,1.15157914454281,0.261837219304401,0.610012363929946,-5.68500055180971
"UROS",0.328606367674826,9.85981831707381,1.15047528034777,0.262281725028495,0.610058745114967,-5.68621275463608
"TTI1",0.203776216629191,10.2203366358912,1.15020297011499,0.262391464977647,0.610058745114967,-5.68651163288605
"CBLB",0.440361426199631,11.4674883887346,1.15018002046224,0.26240071514607,0.610058745114967,-5.68653681877304
"ABCB7",-0.301206060606061,11.6961094389121,-1.14975672532551,0.262571373167319,0.610058745114967,-5.68700128057932
"TMX2",0.169831590909094,12.5176876189042,1.14946146795175,0.262690459277211,0.610058745114967,-5.68732516319504
"TMED5",-0.275440227272723,12.3191755785124,-1.14911767839394,0.262829170100634,0.610058745114967,-5.68770219062257
"EXOC7",-0.130840151515153,13.0909374380165,-1.14894856610007,0.2628974226817,0.610058745114967,-5.68788761628632
"PPP4R1",-0.144864924242427,13.2353844628099,-1.14821502734897,0.263193625411622,0.610401035206051,-5.68869163658431
"PGD",-0.191930984848485,15.7162887396694,-1.14668925379061,0.263810520972686,0.61148627249739,-5.69036255976645
"ADD1",0.257856060606066,14.0358679338843,1.14423651133741,0.264804439192168,0.613443692372376,-5.69304452022353
"RPA3",0.250953863636363,15.1894432231405,1.14320785751057,0.265222098056602,0.614064699674196,-5.69416779435118
"LSM7",0.327370191928408,12.3398374490383,1.14217031218042,0.26564385837269,0.614694497530944,-5.69529987274482
"PNMA2",-0.587350474154555,10.7990688977159,-1.14064323525401,0.26626551028384,0.61547490952976,-5.69696443089491
"C8orf82",-0.214757727272724,11.7833278162096,-1.1405222499131,0.266314807471285,0.61547490952976,-5.69709622418578
"HTRA2",0.264558339556935,11.3986153215663,1.14023735860122,0.26643091698767,0.61547490952976,-5.69740651675176
"SQOR",-0.264639621212117,14.860887768595,-1.13829068030096,0.267225296575845,0.616438858986315,-5.6995249270633
"SLC12A4",-0.326364114780247,13.5920079686963,-1.1380082187627,0.267340704961605,0.616438858986315,-5.69983204057653
"LUZP1",-0.259567896801887,11.4190709131124,-1.13742295976569,0.267579947195854,0.616438858986315,-5.70046816357677
"RDH13",-0.450016809359427,11.1570964085533,-1.13741802054603,0.267581966919931,0.616438858986315,-5.70047353082382
"PTGES2",0.212992803030302,12.2771641735537,1.13721121902063,0.267666541349288,0.616438858986315,-5.70069823502179
"PDCD11",0.346346292026507,10.8520162686766,1.13700913669903,0.26774920476799,0.616438858986315,-5.70091777652508
"AK2",0.158955909090906,14.8010848966942,1.13654302970927,0.267939941155252,0.616520494828725,-5.7014240217154
"AGPS",-0.146233939393939,13.6203186570248,-1.13618861501464,0.268085038555243,0.616520494828725,-5.70180883333521
"STRIP1",-0.291837803137312,11.3676442519873,-1.13555021346626,0.26834654579879,0.616776355265417,-5.70250172017639
"MGMT",0.336616072680902,11.1952609057116,1.1342864153354,0.26886478549639,0.617255560140991,-5.7038723614514
"TTC1",0.24644515151515,12.1313448212269,1.13416440601166,0.268914856142139,0.617255560140991,-5.70400461402213
"AHCYL1",0.357071363636367,12.968803798635,1.13394201807744,0.269006138146707,0.617255560140991,-5.70424564002224
"EIF3I",0.170067500000004,15.8513866942149,1.13327221857021,0.269281203409568,0.617541530724177,-5.70497132156468
"NUP107",-0.227767850020363,10.8985323167191,-1.13261567287445,0.269551025995548,0.617815165668188,-5.70568227470028
"RHBDF1",-0.189880056369395,10.2975217150907,-1.13116789773447,0.270146723329868,0.61833370459773,-5.70724873514959
"RMC1",-0.280008409090907,11.8997266287022,-1.13106407285898,0.270189479874038,0.61833370459773,-5.7073610030871
"RPIA",0.269472249057788,11.1468867351561,1.13096775031068,0.270229151290701,0.61833370459773,-5.70746515043563
"GUK1",-0.173702499999999,13.4996901033058,-1.12981718354913,0.270703354041075,0.618926377248605,-5.70870857581821
"NT5E",0.330622575757577,15.8760978512397,1.12960780727639,0.270789713407672,0.618926377248605,-5.70893472947424
"SPART",-0.183214848484845,13.7416624380165,-1.12846914705647,0.271259718785256,0.619655618037549,-5.71016397995746
"VPS45",-0.174560200955794,13.0391943666815,-1.12692488549474,0.271898098701899,0.62063857172629,-5.71182934338827
"ACSL3",-0.187494401261889,14.5803743201789,-1.12669699945432,0.27199239720721,0.62063857172629,-5.7120749290201
"SARS1",0.190415833333336,16.4443024793388,1.12565709582435,0.272423009801831,0.621275808464732,-5.71319504093587
"NMT1",-0.251535227272726,13.0268371694215,-1.12469554605806,0.2728216205645,0.621319942816369,-5.71422993848
"KLC4",0.223977575757578,11.490517107438,1.122931131342,0.273554168437013,0.621319942816369,-5.71612690140012
"CPT1A",0.248233106060606,14.6357462834999,1.12286766240681,0.273580546165979,0.621319942816369,-5.71619508902821
"MRPS2",-0.413545490385308,10.9287294011536,-1.12256659759985,0.273705694209735,0.621319942816369,-5.71651849031325
"PTPN9",-0.228896640171932,11.2901063246656,-1.12250847727017,0.273729858760426,0.621319942816369,-5.71658091381167
"PSMD1",-0.131674469696966,15.320299338843,-1.12225626256548,0.273834739527692,0.621319942816369,-5.71685176896752
"SERPINB6",0.151979696969697,16.6562104752066,1.12193111607692,0.273969991513919,0.621319942816369,-5.71720086629762
"HOMER3",0.197072803030302,12.4484944809856,1.12136500573488,0.274205594279096,0.621319942816369,-5.71780846282677
"ALDH5A1",0.429039195186641,10.9745350000133,1.12133072116164,0.274219867521333,0.621319942816369,-5.71784525112147
"MAPKAPK3",0.291407424242426,11.9924526589507,1.12098933361472,0.274362022482714,0.621319942816369,-5.71821151487162
"NRAS",-0.229965909090907,12.3469582231405,-1.12065036808151,0.274503222150145,0.621319942816369,-5.71857508207051
"HADHB",-0.154706439393937,15.739417231405,-1.12063123967112,0.274511191872695,0.621319942816369,-5.71859559588287
"SLC27A4",-0.242441060606064,12.8483958956071,-1.12059661414019,0.274525618795229,0.621319942816369,-5.71863272842504
"SSBP1",0.194353106060605,15.2368750413223,1.12051084251851,0.274561358408987,0.621319942816369,-5.71872470582523
"UBE4B",-0.183681074144527,11.1559352350751,-1.11997523413906,0.274784614397552,0.621335563027062,-5.71929892520003
"TOR1AIP2",0.161144469696968,13.1058258677686,1.11966709129863,0.274913116668448,0.621335563027062,-5.71962917090121
"SNRPD2",0.463643409090906,15.4489212190083,1.11938684762135,0.275030022464236,0.621335563027062,-5.71992944611753
"MGAT1",-0.298638984661235,12.5602530248445,-1.11882545883001,0.27526431923402,0.621335563027062,-5.72053076143046
"RPL35",-0.320000681818184,15.826837768595,-1.11867996690453,0.275325064347436,0.621335563027062,-5.72068655713037
"REXO4",0.428864800349755,9.45687602769722,1.11783403042111,0.275678449596802,0.621371993446857,-5.7215920461828
"DOCK5",-0.275920681818178,12.4735341115702,-1.11766984633444,0.275747074906198,0.621371993446857,-5.72176771798895
"GOLGA2",0.186090833333333,12.4764675123188,1.11722464670256,0.275933221184398,0.621371993446857,-5.72224395211623
"UBAP1",0.353039674613228,9.17951305120399,1.11687237674074,0.276080576762884,0.621371993446857,-5.72262065894498
"CSK",-0.157965530303031,13.9891895247934,-1.11669579347031,0.276154463659667,0.621371993446857,-5.72280945199156
"IBA57",-0.215489708546697,11.071792584646,-1.11618410214285,0.276368649642027,0.621371993446857,-5.72335637405894
"PBXIP1",0.273286924098068,13.1249661239276,1.11601901877838,0.276437776785529,0.621371993446857,-5.72353277609783
"DOLPP1",-0.287249216571642,10.0326335074633,-1.11552247791096,0.276645774678983,0.621371993446857,-5.72406322159036
"DDI2",0.260972643054076,11.0988256587573,1.11538464259904,0.276703533257212,0.621371993446857,-5.72421043128535
"MAGED2",-0.317304037599243,13.2335178037952,-1.11412917077322,0.277230031384529,0.62218647291819,-5.72555054449505
"RACK1",0.226816590909092,16.7384550413223,1.11262653926894,0.27786113791155,0.62218647291819,-5.72715271452195
"MPPE1",-0.41032968479956,9.31802969455711,-1.11232933707852,0.277986086881251,0.62218647291819,-5.727469376228
"DCBLD2",0.321134879027241,10.2437569776931,1.1122958695787,0.278000159761826,0.62218647291819,-5.72750503031742
"KPNA6",0.159979015151515,13.3889156198347,1.11142037987783,0.278368482089138,0.62218647291819,-5.72843738060586
"ZFYVE1",0.239384248203336,10.472206381352,1.1107076004684,0.278668613604742,0.62218647291819,-5.72919597028064
"SNAP23",-0.287198106060607,13.5677354338843,-1.11052897975376,0.278743862674179,0.62218647291819,-5.72938600302322
"TBCD",-0.16858919241025,13.1117620779815,-1.11020598274772,0.278879971897618,0.62218647291819,-5.72972956710771
"CCDC25",-0.222832537878787,12.5351975516529,-1.10955253120632,0.279155480700682,0.62218647291819,-5.73042435546964
"PSMA7",0.168262272727269,15.9730980371901,1.10954036871661,0.279160610535429,0.62218647291819,-5.73043728389477
"NCAPG",0.354943898846182,9.91768739489769,1.1094885631833,0.279182461584708,0.62218647291819,-5.73049235047871
"DYNC1I2",-0.179852503252953,13.9511814247327,-1.10908993513724,0.279350640456233,0.62218647291819,-5.7309159947154
"TRIM16",0.19748810223015,11.3098501562199,1.10904825604,0.27936822887861,0.62218647291819,-5.73096028158344
"TMED3",-0.245454532711614,12.4262152539372,-1.10880497857766,0.279470907115826,0.62218647291819,-5.73121875080553
"PAICS",0.175947499999999,15.983815392562,1.10847840274017,0.279608785576731,0.62218647291819,-5.73156564064851
"EPRS1",0.153720681818182,15.4254598760331,1.10823344642985,0.27971223718062,0.62218647291819,-5.73182577422859
"FAM177A1",-0.348601449984528,11.0472929504443,-1.10815301824972,0.279746210217946,0.62218647291819,-5.73191117449497
"PYURF",0.424830392080993,9.11831538783786,1.10771866670184,0.279929733073742,0.62218647291819,-5.73237228229536
"ATP6V1G1",0.214420909090906,15.4569110743802,1.10768012777176,0.279946020823361,0.62218647291819,-5.73241318746091
"STK11IP",-0.35334369924014,11.2349295937493,-1.10648718474495,0.280450536181679,0.622970482156815,-5.7336787482315
"NCSTN",0.228537272727271,15.4318859504132,1.10563258864054,0.280812364743017,0.623400748794583,-5.73458461868118
"FKBP1A",-0.172029015151519,16.6675722520661,-1.10531252922779,0.280947962306938,0.623400748794583,-5.73492372052872
"GRPEL1",-0.219171136363636,12.7128901859504,-1.10374290641351,0.281613642621649,0.624540250114461,-5.73658546313146
"ARMCX2",-0.395642176301468,11.6216588920354,-1.10103395688829,0.282765203645697,0.626396782590933,-5.73944844375204
"PBK",-0.390334483687786,11.062009742617,-1.1008738567091,0.28283336808411,0.626396782590933,-5.73961745079104
"LSM2",0.251784242424241,13.7961636983471,1.10069728549404,0.282908559055686,0.626396782590933,-5.73980381976764
"ALG11",-0.314742575757576,11.8707593491736,-1.09979710839404,0.283292115013828,0.626907887941651,-5.74075353208333
"WDR91",-0.40340593665106,9.11355697637366,-1.09926142301819,0.283520543574726,0.627075340180092,-5.74131836615635
"TBC1D23",0.208203927364758,11.6230365875542,1.09832389826609,0.283920646600198,0.627622107858812,-5.74230631402767
"C1R",0.45290037249277,10.9826139012809,1.0966708942482,0.284627086586562,0.628075353448213,-5.74404638842878
"YAP1",0.167202878787876,14.8863209297521,1.09598406039344,0.284920990589684,0.628075353448213,-5.74476871224318
"IMPA1",-0.174607575757571,14.7383328305785,-1.09572681461104,0.285031125454777,0.628075353448213,-5.74503914633507
"MRPL55",0.351650362349309,11.4283784102635,1.09527739070616,0.28522361157237,0.628075353448213,-5.74551147492476
"ABI3BP",0.379441975892574,10.3534634770918,1.09450630037808,0.285554084791916,0.628075353448213,-5.74632146019155
"PCDHGC3",0.42807132100366,10.099645856896,1.09449178431896,0.285560308724686,0.628075353448213,-5.74633670357433
"CRAT",-0.146471590909092,14.1553011157025,-1.0937672981927,0.285871065320056,0.628075353448213,-5.74709726039096
"LRPPRC",-0.153815909090913,14.8018027479339,-1.09326978084542,0.286084608794662,0.628075353448213,-5.7476192874591
"ARFGAP3",0.208757348484848,13.9528434710744,1.09249300733144,0.286418244440569,0.628075353448213,-5.74843390352378
"ARSA",0.235819545454543,14.1625476033058,1.09248367482734,0.286422254595822,0.628075353448213,-5.74844368753882
"HNRNPH2",0.246593712121209,15.4871098140496,1.09239799077063,0.286459074730284,0.628075353448213,-5.74853351353857
"NUP43",0.345385454545454,11.5635705106457,1.09221403372359,0.286538136259079,0.628075353448213,-5.74872634174145
"STAG2",0.443580667864797,10.6664205034265,1.0921235610647,0.286577025608663,0.628075353448213,-5.74882116670945
"ZNF330",0.417226196231677,11.5006732366938,1.09200598972203,0.286627568924745,0.628075353448213,-5.74894438348761
"EXOSC6",0.4506877415585,10.8915194565697,1.09200236119669,0.286629128911516,0.628075353448213,-5.74894818605557
"PABPC4",-0.170991742424242,14.0604936983471,-1.09195130214307,0.286651081026929,0.628075353448213,-5.7490016929647
"CDC37L1",0.336504970996138,9.52115221960919,1.091775377749,0.286726726519354,0.628075353448213,-5.7491860343351
"KDM3B",0.357392330409228,9.20791747376134,1.09121397024727,0.286968221744648,0.628107723723466,-5.74977412438615
"LRRC47",0.136567045454544,14.5106357231405,1.09102968742156,0.28704752489774,0.628107723723466,-5.74996710683698
"SMPD4",0.264982799689889,10.6197472531233,1.08925246177306,0.287813137246184,0.629136271475773,-5.75182673566996
"PRKCSH",0.154373333333332,16.4750126652893,1.08899018976919,0.287926246190803,0.629136271475773,-5.75210093861288
"RELCH",0.185767343888596,12.2028581004271,1.08845600946463,0.288156719006614,0.629136271475773,-5.7526592364799
"RPL22",0.289467992424235,16.3670543491736,1.08840126625276,0.288180345551243,0.629136271475773,-5.7527164374342
"TRIM26",-0.222915841548364,10.6064888509365,-1.08816141328372,0.288283879816304,0.629136271475773,-5.75296702845876
"CTSA",0.192694848484845,14.9016402479339,1.08717677969144,0.288709184980622,0.629437847105878,-5.75399522559204
"THEM6",0.316823225939739,11.3865128017391,1.08684731805968,0.288851594390624,0.629437847105878,-5.75433907774734
