"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"NEDD1",9.22178,8.57716,10.3656,8.59547,10.62405,10.54513,10.04636,9.81038,10.28748,9.42852,10.56184,10.23881,8.94483,9.59215,8.99368,9.36015,9.74839,10.14043,9.65172,10.51303,10.75726,10.06344
"NEDD4",12.27115,13.08588,12.7873,12.67088,12.5526,12.68846,11.95815,12.79883,12.48804,12.88373,12.49139,12.65103,11.5941,12.64712,11.6824,11.81217,11.97637,12.04462,11.46407,12.46181,11.84781,12.07309
"NEDD8",16.3203,15.76195,16.33825,15.85299,16.24448,16.23912,16.15857,16.19258,15.87379,15.03365,15.7235,16.18131,14.78457,15.79434,15.64742,16.27496,15.96126,16.39587,15.14559,16.13815,15.57289,15.45866
"NEK7",14.96289,14.03284,15.34166,14.25923,13.70106,13.33563,13.53417,12.89175,15.5853,14.14455,14.94161,13.83158,14.97924,14.34577,15.81536,15.65863,16.11018,15.68853,14.73638,14.97029,15.08815,14.72464
"NEK9",13.14378,12.87181,13.53735,12.61556,13.22487,13.76277,13.70072,13.85314,13.50192,13.32963,13.61146,13.46432,13.49084,13.39373,13.71082,13.32715,13.51131,13.41964,13.21718,13.37758,13.20479,13.75438
"NELFB",11.73053,10.90819,11.27722,11.1216,11.50136,11.13134,12.31186,11.47556,11.29398,11.36599,11.41659,11.44716,11.18995,11.76072,9.81831,10.34433,11.40003,11.49992,11.05304,11.02641,11.46265,11.18478
"NELFCD",9.74571,10.2198,9.97134,8.53836,11.12727,10.57966,11.04691,10.84963,10.8874,10.19664,10.84313,10.11024,10.4594,10.83806,9.994,10.37784,10.28401,10.66156,10.4377,10.62552,10.91979,10.48425
"NELFE",10.04547,8.43303,10.84058,11.00298,11.11486,9.6921,11.2722,9.49217,10.92576,9.14847,10.83868,10.16922,10.47355,10.05888,8.78923,9.61397,10.76687,9.95604,10.48463,11.3238,10.85706,9.70932
"NEMF",12.10817,10.88146,11.87211,9.98476,11.70886,11.61757,11.42179,11.46967,12.12082,12.243,12.22765,11.73788,12.16428,9.00459,11.67544,10.82409,11.97402,11.49788,12.22654,12.31219,11.94819,12.06087
"NEMP1",8.6103,8.17078233460745,7.58664,7.66654,8.29551401376954,8.74491,8.7914,8.91529,7.42799,8.20454590122323,9.22265,9.37573,8.23765,6.53206,8.16331,8.23565,8.74766733197854,8.88262,7.91892696191418,8.26159057643404,7.82486,9.1587
"NENF",13.96363,13.74697,14.25717,12.81364,14.29765,13.79068,13.39856,13.64695,13.9594,13.87196,14.19364,13.85976,13.64612,13.73678,13.58611,13.19718,13.51154,12.34698,13.78602,13.73071,13.83189,13.2529
"NEO1",11.88519,11.22384,12.28405,11.18558,11.18534,11.23176,10.79936,11.26099,11.42048,11.16558,11.03041,10.64633,10.61903,10.21314,11.56666,11.02238,10.85491,10.73717,10.00599,10.86868,9.97927,11.82805
"NEU1",12.03638,12.01527,12.02218,12.235,12.12371,11.85241,12.11496,11.82499,11.72289,11.59238,12.1964,11.75985,12.3874,12.8454,11.80851,12.22209,12.07738,12.74735,12.1243,12.44076,12.91832,13.23751
"NF1",9.86854,8.82665,9.04022,8.37163,8.12561,9.08288,8.77914,7.81708,9.80027,9.00385,9.32134,9.19008,8.83944,8.6247,8.73167,8.24863,9.34751,9.50354,8.81798,9.08041,9.87083,9.85692
"NF2",10.81872,9.17575,10.62051,8.68622,10.92701,11.06247,10.99172,11.00381,10.93021,10.40516,10.75189,10.39434,10.68864,10.88671,10.98529,11.03322,11.31194,10.58548,10.98633,10.64575,10.83468,11.08251
"NFASC",12.68157,12.43988,12.81734,12.69003,12.07771,11.68452,10.55006,11.28254,13.36434,12.46284,12.86229,11.8864,14.02578,13.56649,14.18931,13.65494,14.54471,15.01843,12.84295,14.27279,13.91986,14.67356
"NFIC",11.7418,11.83589,11.66857,11.60663,12.26257,12.33411,12.89814,12.64107,11.32452,11.5037,12.19921,11.94506,11.4927,12.06575,9.83668,10.25874,11.86749,10.93413,11.14206,12.03529,11.56824,11.90118
"NFIX",11.74042,11.31167,11.61212,11.62277,12.43374,12.39373,13.00422,13.25311,11.51868,11.42355,12.29734,11.71088,12.60471,12.00718,11.22018,9.82827,11.16605,9.85377,11.52599,12.40598,12.11942,12.76269
"NFKB1",12.28842,12.12404,11.91867,12.10332,12.58933,12.66769,12.46001,12.58042,12.0718,12.10087,12.04121,12.34137,11.78677,11.86064,11.5134,12.09131,11.7448,11.46061,11.67469,12.03911,12.04335,12.07319
"NFKB2",11.0705,11.24945,10.89697,11.14914,11.09983,11.66492,11.4324,11.30987,11.06035,10.89727,11.54234,11.00939,10.65598,11.11788,10.59366,10.92472,11.77056,11.63749,9.98681,10.72274,11.1681,10.88647
"NFKBIB",13.24444,12.74963,13.25635,12.74798,11.90989,12.21758,13.29789,12.86421,12.70529,12.70285,12.50101,12.81206,12.73254,10.56283,11.12109,11.01214,12.83695,12.47934,11.99895,12.72303,12.97536,11.65902
"NFS1",12.1294,12.3316,12.52751,12.01567,12.46701,12.08349,11.89337,12.31153,12.41411,12.52756,12.17794,12.18634,11.88196,12.50149,11.63952,12.49877,11.76706,12.42292,12.01558,12.08739,11.57163,12.19124
"NGLY1",12.11014,11.2148,10.97444,9.67444,11.9322570030259,12.56758,12.0017,12.12447,11.25226,11.41343,10.94738,12.09479,10.70123,10.63722,11.95988,11.54773,11.8862353345493,10.9467,11.08657,11.21988,11.89609,11.63763
"NHLRC2",13.61817,13.11549,13.66122,13.13134,13.46489,13.47132,13.44004,13.46458,13.62962,13.60521,13.35541,13.41449,13.01027,13.61482,13.11441,14.19649,13.27943,14.07791,12.93641,13.4254,13.44783,13.67975
"NHLRC3",11.82033,12.26926,11.43906,12.31188,11.55462,11.91966,11.03599,11.18629,12.04152,12.24026,12.28672,12.40729,11.95976,12.54492,11.05382,11.85542,10.61919,11.35276,11.19594,11.37725,11.66974,12.18907
"NIBAN1",13.49629,12.70379,12.68064,11.456,12.66856,12.19292,13.38031,12.45963,13.31963,12.60845,13.5598,12.89942,15.08854,15.00716,12.97165,13.79988,13.44675,13.93951,14.58964,14.23574,14.53365,14.5128
"NIBAN2",15.52914,15.77391,15.6264,15.53518,15.36008,15.66521,15.8888,16.20412,15.36511,15.76319,15.85055,15.88185,15.58022,15.92899,15.30649,15.82163,15.56486,15.90387,15.41664,15.8779,15.51999,15.82872
"NID1",8.06469,8.14279,8.73137,7.77142,8.45593,9.866,8.78918330783199,8.88817,8.53957016998917,8.72757,8.82480811684721,8.08655,8.63372,8.40946,7.19194,7.40970604814115,7.17423,7.29087173530808,8.61777,7.81261,8.41321,8.26951
"NID2",9.49721,9.36094,9.51034,10.12168,9.96241185235235,11.10975,9.73644,8.43845,8.68939,8.24735,10.1526767252077,10.43637,10.39194,10.23385,10.08717,7.3884,9.6045,9.32672,9.31501,9.46957,10.04028,11.32614
"NIF3L1",14.24815,14.17125,13.57609,14.13838,13.72248,13.85531,13.67294,13.67177,13.22101,13.731,13.58342,13.82336,13.3828,14.07884,13.03463,14.03614,13.24482,14.01857,13.1802,13.91248,13.53396,13.25679
"NIP7",10.43445,10.67284,10.38472,10.78776,10.62987,11.25042,9.74471,11.33051,10.59818,11.18574,10.86368,10.7981,10.73263,11.69499,9.81294,8.83223249201885,9.62218260205643,7.96197,11.13054,10.55437,11.51975,11.25634
"NIPSNAP1",14.53735,13.67737,14.30905,12.8338,14.21351,14.24673,13.91339,13.53226,14.51311,14.30377,14.52848,13.99632,14.81689,14.3131,14.65636,15.29859,13.99631,15.20469,13.85996,14.15297,14.23708,14.29147
"NIPSNAP2",12.69485,12.75976,13.01041,12.68411,13.09679,12.89221,12.72317,13.12897,12.89346,13.14155,12.97407,13.08523,13.26965,12.79753,13.33015,14.01452,12.15111,12.92752,12.79359,12.4203,12.37141,12.65278
"NIPSNAP3A",13.12546,12.86698,13.22284,13.06089,12.03577,12.11741,12.56926,11.36551,13.58888,13.42577,13.91779,12.55354,13.45893,12.96859,12.90578,13.67087,12.8144,12.65568,13.40157,12.22929,12.46978,13.23027
"NISCH",12.20898,12.12588,12.45427,12.62358,10.79676,11.88666,12.41022,12.40862,11.47125,12.07585,11.99593,11.60713,11.56745,12.26086,11.24163,12.19595,11.52769,12.28087,10.95222,12.23481,11.8054,12.47944
"NIT1",13.22163,13.18239,13.37973,13.49088,12.898,13.4281,13.13114,13.59006,13.45793,13.66979,13.66915,13.41461,13.26885,14.07688,13.36378,14.18982,13.35528,14.19004,13.2077,14.11996,13.697,13.97909
"NIT2",13.83162,13.73616,14.01106,13.60806,13.63021,13.97095,13.42688,13.76188,13.99492,14.16926,14.00089,14.18865,13.42451,14.37611,13.47283,14.45181,13.81489,14.49028,13.60401,14.39715,13.68774,13.94547
"NLE1",11.40242,11.00088,11.6179,10.9339,12.07513,11.59763,12.16053,11.10595,11.85043,10.7806,11.51456,11.14031,11.71194,11.49761,11.16781,11.25823,11.19473,11.06005,12.12403,11.6491,12.2407,11.87261
