"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"GET3",22963.9,17909.8,24066.4,22803.8,32135.3,25073.5,24233.4,26388.4,26069.1,22269.7,21840.3,22553.3,17447.1,18673.5,16924.4,22336.8,21261.5,21036.2,15300.6,20542.1,19638.9,22576.7
"GET4",NA,2767.37,1897.57,980.55,2139.88,3107.78,2018.77,1665.83,2107.58,1614.32,2809,1380.8,4729.09,1861.68,7481.76,2084.39,3215.14,1293.77,5184.9,2031.18,1578.55,2603.49
"GFM1",9921.91,10347.3,9086.68,9182.15,9022.79,10966.5,9641.54,9834.2,8662.95,9265.5,8665.31,9802.28,7325.13,7930.43,6808.47,9871.18,6111.34,10252.2,6920.7,8892.91,7191.51,5157.99
"GFM2",2193.72,1530.78,2948.26,1748.28,1985.59,2006.56,1870.16,1719.56,1938.84,2067.28,1916.28,2019.94,1644.22,3661.91,1938.31,2140.03,2243.9,4620.13,1578.64,2032.47,2210.17,2336.65
"GFPT1",39604.8,38661.8,42389.1,34652.8,21216.5,31118.6,25414,20288.4,47039.6,44188.2,37272.8,39121.3,25884,28750,51803.1,67513.6,78838,72032.7,25083.7,25130.2,42789.2,30944.2
"GFPT2",13236.7,9898.25,11251.2,10024.4,14020.5,15318.6,27370.9,13439.8,15143.3,11022,17768.6,12358.4,23024.8,16949.9,19087.4,26538.9,25353.1,38233.8,27437,18376.4,35519.4,22032.2
"GFRA1",6048.17,2902.09,7889.05,5624.46,2101.48,1174.14,877.334,947.045,3071.67,2326.34,22334.7,4938.77,223.325,NA,NA,NA,443.764,NA,NA,NA,435.363,NA
"GFUS",18806.7,12560.3,16993.3,14198.3,17033,15469.3,12544.3,12224.1,18525.4,22511.5,20828.1,17346.1,24156.7,22681.5,29025.5,32298.8,28672.6,24644.8,15782.5,23126.6,37283.6,33434.4
"GGA1",2010.47,1803.76,2638.84,1208.17,1459.55,1868.75,1473.7,2221.13,2328.06,2070.23,1364.7,2124.42,1270.67,1370.6,986.699,2432.4,1931.13,2310.37,1473.65,1538.98,822.252,1365.62
"GGACT",2044.39,2054.46,3405.5,4223.22,2016.61,2200.54,1473.15,1313.19,2007.59,1130.22,1889.43,1191.42,1314.84,1384.69,2188.35,1756.5,1068.68,1046.44,911.147,1365.13,1228.76,2188.92
"GGCT",5795.74,3874.12,5775.42,3096.11,6371.46,6067.56,2337.84,3808.09,6483.33,5784.98,6179.38,5661.88,4068.34,6456.65,4811.56,6978.78,5753.04,4976.28,4541.83,6665.08,6112.95,6954.34
"GGCX",884.215,1557.55,2074.2,1918.94,2032.7,3025.52,1702.12,2272.65,1810.65,5444.24,1686.14,3482.41,2720.81,2444.55,2498.3,1132.92,3193.49,3448.65,1753.25,3799.4,2251.51,3154.67
"GGH",5763.76,3903.97,5346.91,4838.9,3374.65,3098.98,7548.57,5570.99,2819.4,2793.97,3910.95,3702.11,1810.62,5625.22,3625.54,7594.67,5538.68,10672.9,2954.99,6631.15,3907.47,6271.89
"GGPS1",1741.41,3404.76,2765.18,2827.89,2417.97,2943.47,2149.32,3042.37,3872.67,3787.89,3457.4,2494.86,2450.36,5569.98,3007.52,4442.86,2161.32,4053.11,1717.36,3141.31,3004.76,3456.53
"GGT5",2273.57,24465.7,6128.71,27769.3,3275.94,31510,1802.22,14723,1402.75,27216.2,1797.42,20192.9,8611.81,31616.4,4065.69,8669.86,1540.67,11354.6,2265.96,24819,11596.3,53239.8
"GGT7",973.383,1172.57,1374.89,921.555,744.495,693.19,377.71,1146.15,817.761,1308.03,1416.48,1033.86,734.079,1531.65,770.171,909.862,1958.4,1185.33,707.989,1607.8,2043.59,1308.39
"GHDC",2534.11,2731.44,4329.91,3908.43,2945.12,4069.24,3949.83,3621.62,3539.61,4395.02,3649.61,4787.61,2616.45,5820.59,1890.23,4890.31,2748.41,4299,1721.08,5391.94,3015.94,5263.84
"GHITM",2760.84,2915.48,2989.39,3165.92,1722.24,2091.43,1685.35,1530.41,2247.99,4315.53,3578.03,3077.95,2139.28,2273.24,1803.65,8095.3,2415.72,3298.27,3148.65,2935.21,3084.94,2067.77
"GID8",7401,6439.1,7351.82,3381.15,9207.36,5410.8,7440.15,7379.64,8650.97,6605.26,5189.06,7911.11,3612.74,6408.39,3015.05,3332.25,3818.13,4086.89,6310.78,6821.88,4615.17,4526.19
"GIGYF2",8428.47,9873.21,8922.94,8395.86,12824.1,11969.7,9622.79,11430,11977,7728.83,9812.67,10263.6,6551.19,7157.38,6111.61,4735.01,7967.14,4686.58,7197.26,8349.68,7270.01,8343.08
"GINM1",1653.8,921.706,843.074,1077.96,1175.95,713.307,NA,918.675,799.858,618.19,729.175,371.524,1348.75,NA,916.351,94.251,339.257,NA,1091.2,NA,1038.1,247.801
"GIPC1",9922.79,10375.3,10194.1,10315,10507.5,10147.1,9177.69,9465.69,8887.94,9600.21,10230.4,8501.3,6018.99,7047.75,7522,7820.57,8052.13,7599.77,6725.65,7590.71,6397.6,5490.22
"GIT1",3086.3,3644.34,3220.44,2757.01,3073.54,4881.27,5725.7,5993.14,2521.74,2852.52,3222.31,4598.49,2049.05,2070.87,2709.31,3487.92,3205.68,4206.67,1840,3208.9,2342.07,3065.41
"NA.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIT2",5334.13,6628.9,7317.64,6754.92,7271.91,6464.17,5961.87,5866.87,5318.77,6481.68,6812.89,6828.68,4491.66,3050.68,4330.47,4751.14,5669.39,7185.24,4103.1,4284.35,5178.6,6874.16
"GJA1",58270,25271.7,64704.3,20654.1,27728.7,19093.6,23415.7,14501.1,39675.4,27543.8,57844.3,33294.9,26991.8,8311.99,8150.26,4856.01,18684.9,5775.41,30810.4,11218.4,33729.8,10008.4
"GLB1",21162.1,16270.6,22535.1,18397.4,14400,12760.8,12646.3,15280.8,22441.5,28053.9,20292.8,22854.3,27353.9,35886.6,26277.1,38461.4,20697.1,30229.6,17180.4,26976.1,32466.8,40369.4
"GLCE",202.011,180.31,323.231,413.722,667.418,553.157,554.378,1328.92,671.377,1512.25,1282.78,730.316,2401.23,374.224,367.819,NA,449.089,NA,989.624,331.461,978.446,1121.74
"GLG1",27999.4,35657.8,33937.8,22269.2,36347.2,38303.3,34329.7,30397.4,30749.2,28674.1,36641.4,37922,17794.1,13118,17616.9,5612.42,17218.8,9622.72,20515.7,37269.7,25325.2,30272.2
"GLIPR1",7356.56,4766.06,8232.24,1904.49,11265.7,6527.39,7067.71,3655.3,7925.51,3984.26,8398.58,4458.87,11919.4,4801.94,6311.15,2025.67,9669.87,5480.36,10762.3,5593.27,8439.17,6552.77
"GLIPR2",11572.8,5209.56,15427.5,3344.84,8733.91,7315.96,3992.74,4920.92,15192,5646.81,10673.3,6240.79,10617.1,15267,15268.7,14823.7,6336.53,7412.3,8840.07,16843.9,14530.7,17322.5
"GLMN",5015.29,3843.03,4433.88,4546.14,1855.86,4788.01,3871.49,5071.35,2871.53,3051.18,4400.57,4045.27,3270.86,3566.91,1864.67,3313.66,3367.36,3318.17,3574.33,2505.05,2348,2068.95
"GLO1",49438.6,52561.1,54359.6,43066.3,72492.3,60848,39933,52215.8,65984.5,62719.2,68764.7,60539.6,67778.6,85884.1,91029.6,80746.4,94786.6,110581,69175.9,79977.6,61259.2,67434.4
"GLOD4",19213.8,15398.6,20481.1,10786.7,22661.9,17276.2,6073.54,7904.44,16590,18039.9,17424.6,20415.3,14203.7,17049,14417.1,20947.9,13116.8,18127.9,13222.6,16193.7,18566.3,17641.4
"GLRX3",30400.9,30986.1,30034.4,23628.3,32393.1,25424.5,30976.1,25894.4,33327.1,27702.4,25890.7,28381.9,20204.3,22583.6,18116.7,26064.4,23002.5,21742.2,24957.5,24893.5,22099.2,18765.8
"GLS",49862.8,50131.6,50393.9,49910.7,18229.7,27772.4,17846.6,21570.7,47329.3,51992.8,30282.5,33224.4,22134.8,54400.3,34831,83195.2,34108.4,66965.9,16371.5,47201.2,28772,33873.5
"GLT8D1",12598.1,24401.7,15440,11516.5,16071.1,16595.5,15880.4,14786.1,13537,10242.5,10037.4,10307.1,7806.56,4918.23,16231,2272.63,11336.7,7865.75,11098.7,9789,14127.8,8050.41
