Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
NAT1	4790.07	5711.97	3696.62	7837.36	1866.51	3580.13	3053.57	3832.9	3445	4716.03	3540.58	3789.15	3593.67	4986.02	3035.6	6660.86	3286.76	9465.15	3888.8	7470.59	2505.62	3926.34	3283.12	3972.41
NAT10	3888.9	2150.63	3631.01	1094.65	2951.91	4529.28	5038.31	4191.97	5430.22	3575.44	3639.52	2635.88	5228.97	2588.62	1834.03	633.755	871.637		1413.48		4519.53	3143.53	6116.6	3623.43
NAT14	1053.67	410.49	884.78	837.353	1343.03	1460.27	631.706	1703.63	1642.61	1093.4	1281.16	1474.55	961.943	1987.72	1863.14	2126.24	1551.95	3243.01	3403.76	1384.35	326.969	1224.8	1776.63	1744.63
NATD1	2060.22	820.809	1089.19	1002.14		1357.63	753.809	1017.81	1446.57	475.826	722.501	946.132	439.887	907.491	1142.88		1266.77	941.7	2252.18	1055.05	1165.9	749.698	677.65	1362.18
NAV1	3431.28	2323.43	4980.85	3203.72	3502.96	2183.53	4032.4	2077.09	5365.92	2770.06	3351.47	3170.16	2770.41	1737.98	3767.54	2119.12	3634.22	3350.81	5035.73	2824.94	3804.03	4146.52	5540.53	6178.23
NAV2	3235.99	4418.19	4110.53	2686.11		5623.44		4863.87	3069.35	5061.66	3936.31	4283.29	3917.32	4745.77									3911.52	3529.39
NAV3	407.862	482.465	731.056	326.405	574.399	316.338			933.724	371.001	252.237	546.324	219.578	312.089	377.245	544.929	322.899	408.156	844.925	565.856	335.534	347.403	227.7	477.819
NAXD	3537.1	3218.89	3876.55	3451.95	2434.9	4099.07	2671.18	2966.48	4107.97	4754.44	3305.2	4801.75	2140.23	4979.31	3410.53	5773.32	3430.56	6589.88	2696.91	4418.43	2308.89	3024.37	3212.39	3608.58
NAXE	10720.6	11716.8	11858.3	13606	9006.47	9356.75	6252.92	6950.7	10834.7	15540.6	10482.3	10956.9	12183.9	14359.3	8615.51	18631.8	11012.4	19338.1	7090.5	15789.9	10233.9	10786	10914.9	13841.6
NBAS	7156.97	7913.31	7560.91	7173.2	3164.75	5712.68	4803.53	4648.75	7658.06	8013.55	8088.58	6669.38	5478.59	7041.46	5016.51	4866.03	5230.35	6390.94	6796.61	6079.58	4327.82	6708.28	5473.35	7328.22
